LMT Date,LMT Time,Latitude,Longitude,Elevation
2012/10/9,0:00:43,-33.8566048,19.1465259,430.53
2012/10/9,3:00:43,-33.8533584,19.1443726,439.61
2012/10/9,6:00:43,-33.8528320,19.1271832,664.89
2012/10/9,9:00:44,-33.8540992,19.1269478,724.6
2012/10/9,12:00:43,-33.8540929,19.1270059,723.83
2012/10/9,15:00:43,-33.8541365,19.1260030,711.25
2012/10/9,18:00:43,-33.8541726,19.1260305,712.45
2012/10/9,21:00:44,-33.8541976,19.1260659,702.94
2012/10/10,3:01:14,-33.8542474,19.1260757,710.85
2012/10/10,6:00:43,-33.8542367,19.1260509,718.01
2012/10/10,9:00:43,-33.8562620,19.1278955,716.98
2012/10/10,12:00:59,-33.8594619,19.1311587,1049.42
2012/10/10,15:00:39,-33.8609611,19.1285524,1153.31
2012/10/10,18:00:42,-33.8685161,19.1252783,1183.88
2012/10/10,21:00:17,-33.8799492,19.1197985,778.27
2012/10/11,3:00:43,-33.8766073,19.0948994,654.11
2012/10/11,6:00:43,-33.8721292,19.0864121,394.74
2012/10/11,9:01:02,-33.8486349,19.0738278,556.57
2012/10/11,12:00:43,-33.8484140,19.0695000,424.35
2012/10/11,15:00:43,-33.8484237,19.0695585,420.95
2012/10/11,18:00:43,-33.8442447,19.0652130,379.66
2012/10/11,21:00:21,-33.8309040,19.0566809,270.41
2012/10/12,0:00:43,-33.8134077,19.0272156,740
2012/10/12,3:00:44,-33.7900772,19.0390628,744.72
2012/10/12,6:00:43,-33.7824701,19.0385486,851.46
2012/10/12,9:00:43,-33.7826158,19.0386246,852.47
2012/10/12,12:02:27,-33.7819760,19.0379066,852.46
2012/10/12,15:00:56,-33.7819261,19.0379232,817.58
2012/10/12,18:01:31,-33.7823842,19.0386327,858.5
2012/10/12,21:01:31,-33.7823382,19.0386665,858.93
2012/10/13,6:00:43,-33.7823816,19.0386021,857.13
2012/10/13,12:01:03,-33.7819056,19.0379303,813.78
2012/10/13,15:00:43,-33.7820117,19.0379774,828.56
2012/10/13,18:00:43,-33.7818525,19.0378507,820.78
2012/10/13,21:01:02,-33.7818816,19.0378504,826.75
2012/10/14,0:00:32,-33.7816736,19.0376645,827.07
2012/10/14,3:01:02,-33.7817957,19.0376484,826.61
2012/10/14,6:00:37,-33.7764536,19.0387194,1054.28
2012/10/14,9:01:09,-33.7716226,19.0390980,698.97
2012/10/14,12:02:54,-33.7716770,19.0391905,698.93
2012/10/14,15:01:02,-33.7716222,19.0391663,699.03
2012/10/14,18:00:43,-33.7699872,19.0426342,545.69
2012/10/14,21:01:08,-33.7645967,19.0521265,509.85
2012/10/15,6:01:30,-33.7697607,19.0660773,514.91
2012/10/15,12:01:01,-33.7754609,19.0873380,1035.46
2012/10/15,15:01:02,-33.7791500,19.0990505,1175.44
2012/10/15,18:00:43,-33.7885425,19.1106396,1135.8
2012/10/15,21:00:57,-33.7929717,19.1143549,1136.94
2012/10/16,0:00:44,-33.7928840,19.1146091,1147.89
2012/10/16,3:01:02,-33.7929061,19.1146323,1156.79
2012/10/16,6:00:43,-33.7930033,19.1144145,1156.87
2012/10/16,9:01:01,-33.7929852,19.1144008,1156.27
2012/10/16,12:02:02,-33.7928721,19.1143956,1164.23
2012/10/16,15:01:16,-33.7930284,19.1142740,1163.5
2012/10/16,18:00:41,-33.7929749,19.1143933,1161.58
2012/10/16,21:00:39,-33.7929835,19.1145259,1167.34
2012/10/17,0:00:43,-33.7929926,19.1143898,1164.04
2012/10/17,3:01:08,-33.7930411,19.1144722,1163.18
2012/10/17,6:00:43,-33.7991459,19.1137293,1282.16
2012/10/17,9:00:46,-33.8105464,19.1226227,1411.62
2012/10/17,12:01:34,-33.8206155,19.1270544,1411.41
2012/10/17,15:00:48,-33.8183138,19.1271141,1224.81
2012/10/17,18:00:43,-33.8209894,19.1281094,1000.95
2012/10/17,21:00:44,-33.8168457,19.1023624,474.32
2012/10/18,0:00:43,-33.8117560,19.0945730,443.91
2012/10/18,3:00:43,-33.8300181,19.0812606,375.73
2012/10/18,6:00:43,-33.8277635,19.0802698,479.46
2012/10/18,9:00:43,-33.8136054,19.0700695,630
2012/10/18,12:01:48,-33.8056779,19.0661964,663.56
2012/10/18,15:00:29,-33.8055491,19.0654024,670.52
2012/10/18,18:00:18,-33.8034499,19.0629750,612.11
2012/10/19,0:00:26,-33.7990011,19.0662616,371.38
2012/10/19,3:00:43,-33.7991373,19.0662451,375.77
2012/10/19,9:01:32,-33.7968083,19.0709668,386
2012/10/19,12:00:43,-33.7970437,19.0708204,399.11
2012/10/19,21:00:43,-33.8069452,19.0873335,342.2
2012/10/20,0:00:43,-33.8107592,19.0919698,409.53
2012/10/20,3:00:44,-33.8478316,19.1401480,470.41
2012/10/20,9:00:43,-33.8565507,19.1735195,834.36
2012/10/20,12:00:43,-33.8623506,19.1757772,744.12
2012/10/20,15:00:37,-33.8625080,19.1734103,685.78
2012/10/20,18:00:43,-33.8605740,19.1601987,511.97
2012/10/20,21:00:46,-33.8539824,19.1429288,501.57
2012/10/21,0:00:43,-33.8468516,19.1342659,413.46
2012/10/21,3:00:43,-33.8436883,19.1226866,363.97
2012/10/21,6:01:14,-33.8437130,19.1226595,363.48
2012/10/21,9:02:06,-33.8436452,19.1226827,365.71
2012/10/21,15:00:53,-33.8436739,19.1227102,366.35
2012/10/21,21:00:43,-33.8436938,19.1225987,355.88
2012/10/22,0:01:11,-33.8436663,19.1225731,369.41
2012/10/22,3:00:43,-33.8436763,19.1226489,364.16
2012/10/22,6:00:43,-33.8444804,19.1171279,419.67
2012/10/22,9:00:44,-33.8458186,19.1129550,625.64
2012/10/22,12:01:02,-33.8457445,19.1125211,619.94
2012/10/22,15:00:44,-33.8460809,19.1116352,654.07
2012/10/22,18:00:43,-33.8466090,19.1050406,762.4
2012/10/22,21:01:01,-33.8462533,19.0895025,762
2012/10/23,0:01:44,-33.8461756,19.0894606,832.31
2012/10/23,3:00:45,-33.8518752,19.0904706,702.85
2012/10/23,6:00:43,-33.8564088,19.0932917,886.55
2012/10/23,9:00:44,-33.8702358,19.1195479,1021.65
2012/10/23,12:01:24,-33.8845252,19.1402249,1021.45
2012/10/23,15:00:43,-33.8904650,19.1405722,702.2
2012/10/23,18:00:43,-33.8925290,19.1462980,703.88
2012/10/23,21:01:14,-33.8804743,19.1616190,1134.6
2012/10/24,0:01:33,-33.8713072,19.1705053,1135.25
2012/10/24,3:01:29,-33.8724192,19.1685538,743.34
2012/10/24,6:01:28,-33.8720226,19.1689443,735.32
2012/10/24,9:00:43,-33.8686350,19.1678855,774.85
2012/10/24,15:00:43,-33.8671859,19.1676829,764.93
2012/10/24,18:00:43,-33.8671707,19.1677171,763.85
2012/10/24,21:00:43,-33.8661678,19.1764156,827.35
2012/10/25,0:00:43,-33.8662314,19.1761090,824.02
2012/10/25,3:00:43,-33.8662016,19.1761152,827.14
2012/10/25,6:01:35,-33.8612960,19.1874694,826.94
2012/10/25,9:01:56,-33.8618670,19.1919475,827.65
2012/10/25,15:01:12,-33.8615330,19.1906402,1078.5
2012/10/25,18:01:34,-33.8607045,19.1915568,1097.02
