LMT Date,LMT Time,Latitude,Longitude,Elevation,,,
2013/4/30,00:00:00,-34.1463517,18.9295300,484,,,
2013/4/30,03:00:00,-34.1713033,18.8733833,467,,,
2013/4/30,06:00:00,-34.1926883,18.8333350,123,,,
2013/4/30,09:00:00,-34.1927033,18.8333350,136,,,
2013/4/30,12:00:00,-34.1944133,18.8333800,54,,,
2013/4/30,15:00:00,-34.1945133,18.8321583,105,,,
2013/4/30,18:00:00,-34.1988883,18.8339367,371,,,
2013/4/30,21:00:00,-34.2327033,18.8637933,322,,,
2013/5/1,00:00:00,-34.2716967,18.8427017,9,,,
2013/5/1,03:00:00,-34.3015483,18.8248167,-1,,,
2013/5/1,06:00:00,-34.3025300,18.8284800,0,,,
2013/5/1,09:00:00,-34.3004950,18.8337200,98,,,
2013/5/1,12:00:00,-34.2930950,18.8542900,298,,,
2013/5/1,15:00:00,-34.2849417,18.8560183,421,,,
2013/5/1,18:00:00,-34.2791133,18.8735483,569,,,
2013/5/1,21:00:00,-34.2747800,18.8922617,305,,,
2013/5/2,00:00:00,-34.2746200,18.8919000,311,,,
2013/5/2,03:00:00,-34.2746033,18.8920083,318,,,
2013/5/2,06:00:00,-34.2746317,18.8917033,322,,,
2013/5/2,09:00:00,-34.2745933,18.8928033,291,,,
2013/5/2,12:00:00,-34.2749917,18.8928533,311,,,
2013/5/2,15:00:00,-34.2751050,18.8926833,284,,,
2013/5/2,18:00:00,-34.2748083,18.8928600,296,,,
2013/5/2,21:00:00,-34.2746250,18.8929267,295,,,
2013/5/3,00:00:00,-34.2745750,18.8929517,289,,,
2013/5/3,03:00:00,-34.2746450,18.8930383,288,,,
2013/5/3,06:00:00,-34.2746133,18.8929617,276,,,
2013/5/3,09:00:00,-34.2745833,18.8927833,298,,,
2013/5/3,12:00:00,-34.2745667,18.8928800,293,,,
2013/5/3,15:00:00,-34.2747067,18.8929733,314,,,
2013/5/3,18:00:00,-34.2741083,18.8969067,395,,,
2013/5/3,21:00:00,-34.2727867,18.9065150,312,,,
2013/5/4,00:00:00,-34.2863633,18.9287650,145,,,
2013/5/4,03:00:00,-34.2863633,18.9288867,155,,,
2013/5/4,06:00:00,-34.2882217,18.9439067,121,,,
2013/5/4,09:00:00,-34.2865483,18.9506017,168,,,
2013/5/4,12:00:00,-34.2751033,18.9629283,372,,,
2013/5/4,15:00:00,-34.2750950,18.9624983,383,,,
2013/5/4,18:00:00,-34.2455783,18.9707717,218,,,
2013/5/4,21:00:00,-34.2338800,18.9795933,217,,,
2013/5/5,00:00:00,-34.2338383,18.9796950,257,,,
2013/5/5,03:00:00,-34.2337233,18.9794850,228,,,
2013/5/5,06:00:00,-34.2326233,18.9531917,266,,,
2013/5/5,09:00:00,-34.2103867,18.9357683,598,,,
2013/5/5,15:00:00,-34.2104600,18.9355433,577,,,
2013/5/5,18:00:00,-34.2067267,18.9337167,738,,,
2013/5/5,21:00:00,-34.1954267,18.9307000,812,,,
