LMT Date,LMT Time,Latitude,Longitude
2013/8/12,18:00:00,-33.4585400,19.2343533
2013/8/12,21:00:00,-33.4510917,19.2274883
2013/8/13,00:00:00,-33.4485983,19.2151233
2013/8/13,03:00:00,-33.4577683,19.2163167
2013/8/13,06:00:00,-33.4578933,19.2164383
2013/8/13,09:00:00,-33.4576250,19.2165067
2013/8/13,12:00:00,-33.4576800,19.2165067
2013/8/13,15:00:00,-33.4576367,19.2167200
2013/8/13,18:00:00,-33.4576617,19.2166483
2013/8/13,21:00:00,-33.4578033,19.2163350
2013/8/14,00:00:00,-33.4577350,19.2163733
2013/8/14,03:00:00,-33.4577833,19.2163183
2013/8/14,06:00:00,-33.4577567,19.2163917
2013/8/14,09:00:00,-33.4576683,19.2167083
2013/8/14,12:00:00,-33.4577300,19.2174083
2013/8/14,15:00:00,-33.4577567,19.2165950
2013/8/14,18:00:00,-33.4574750,19.2173650
2013/8/14,21:00:00,-33.4574767,19.2173283
2013/8/15,00:00:00,-33.4574400,19.2172650
2013/8/15,03:00:00,-33.4574750,19.2172283
2013/8/15,06:00:00,-33.4574467,19.2173117
2013/8/15,09:00:00,-33.4574233,19.2173317
2013/8/15,12:00:00,-33.4574433,19.2171483
2013/8/15,15:00:00,-33.4574817,19.2173117
2013/8/15,18:00:00,-33.4574317,19.2172117
2013/8/15,21:00:00,-33.4576767,19.2194500
2013/8/16,00:00:00,-33.4576083,19.2194700
2013/8/16,03:00:00,-33.4576233,19.2194850
2013/8/16,06:00:00,-33.4577083,19.2194650
2013/8/16,09:00:00,-33.4576550,19.2194150
2013/8/16,12:00:00,-33.4577167,19.2222467
2013/8/16,15:00:00,-33.4639983,19.2273417
2013/8/16,18:00:00,-33.4618017,19.2354283
2013/8/16,21:00:00,-33.4406850,19.2377333
2013/8/17,00:00:00,-33.4373750,19.2385750
2013/8/17,03:00:00,-33.4370367,19.2389150
2013/8/17,06:00:00,-33.4370467,19.2390083
2013/8/17,09:00:00,-33.4370350,19.2390100
2013/8/17,12:00:00,-33.4409550,19.2505867
2013/8/17,15:00:00,-33.4402433,19.2550933
2013/8/17,18:00:00,-33.4297750,19.2595750
2013/8/17,21:00:00,-33.4277100,19.2682967
2013/8/18,00:00:00,-33.4281700,19.2682950
2013/8/18,03:00:00,-33.4281800,19.2682317
2013/8/18,06:00:00,-33.4292483,19.2748800
2013/8/18,09:00:00,-33.4293183,19.2748783
2013/8/18,12:00:00,-33.4263050,19.2799967
2013/8/18,15:00:00,-33.4263467,19.2800217
2013/8/18,18:00:00,-33.4234183,19.2781167
2013/8/18,21:00:00,-33.4276083,19.2646800
2013/8/19,00:00:00,-33.4298400,19.2553083
2013/8/19,03:00:00,-33.4361733,19.2581483
2013/8/19,06:00:00,-33.4361133,19.2579617
2013/8/19,09:00:00,-33.4349433,19.2593717
2013/8/19,12:00:00,-33.4313050,19.2616483
2013/8/19,15:00:00,-33.4350633,19.2593900
2013/8/19,18:00:00,-33.4358500,19.2597083
2013/8/19,21:00:00,-33.4311583,19.2640800
2013/8/20,00:00:00,-33.4345200,19.2403600
2013/8/20,03:00:00,-33.4360900,19.2386850
2013/8/20,06:00:00,-33.4384250,19.2385933
2013/8/20,09:00:00,-33.4462267,19.2358500
2013/8/20,12:00:00,-33.4497883,19.2386133
2013/8/20,15:00:00,-33.4498817,19.2386433
2013/8/20,18:00:00,-33.4507000,19.2260883
2013/8/20,21:00:00,-33.4494300,19.2196967
2013/8/21,00:00:00,-33.4482350,19.2173317
2013/8/21,03:00:00,-33.4477083,19.2097883
2013/8/21,06:00:00,-33.4601450,19.2273267
2013/8/21,09:00:00,-33.4601400,19.2273517
2013/8/21,12:00:00,-33.4613767,19.2304283
2013/8/21,15:00:00,-33.4644550,19.2274117
2013/8/21,18:00:00,-33.4661733,19.2248617
2013/8/21,21:00:00,-33.4663267,19.2246333
2013/8/22,06:00:00,-33.4663117,19.2246317
2013/8/22,09:00:00,-33.4662733,19.2246667
2013/8/22,12:00:00,-33.4662550,19.2246400
2013/8/22,15:00:00,-33.4662717,19.2246233
2013/8/22,18:00:00,-33.4663283,19.2245717
2013/8/22,21:00:00,-33.4663400,19.2245033
2013/8/23,00:00:00,-33.4660833,19.2248117
2013/8/23,03:00:00,-33.4663600,19.2245400
2013/8/23,06:00:00,-33.4663200,19.2246500
2013/8/23,09:00:00,-33.4663183,19.2246117
2013/8/23,12:00:00,-33.4663400,19.2246067
2013/8/23,15:00:00,-33.4662533,19.2249900
2013/8/23,18:00:00,-33.4671150,19.2253267
2013/8/23,21:00:00,-33.4727467,19.2239683
2013/8/24,00:00:00,-33.4838817,19.2254533
2013/8/24,03:00:00,-33.4837367,19.2256417
2013/8/24,06:00:00,-33.4837683,19.2256350
2013/8/24,09:00:00,-33.4837333,19.2256483
2013/8/24,12:00:00,-33.4837233,19.2256400
2013/8/24,15:00:00,-33.4836967,19.2252833
2013/8/24,18:00:00,-33.4817633,19.2242700
2013/8/24,21:00:00,-33.4829500,19.2157033
2013/8/25,00:00:00,-33.4867567,19.1782150
2013/8/25,03:00:00,-33.4948017,19.1814117
2013/8/25,06:00:00,-33.4948267,19.1814217
2013/8/25,09:00:00,-33.4955900,19.1816250
2013/8/25,12:00:00,-33.4956033,19.1815817
2013/8/25,15:00:00,-33.4943433,19.1815867
2013/8/25,18:00:00,-33.4915833,19.1781550
2013/8/25,21:00:00,-33.4846967,19.1786317
2013/8/26,00:00:00,-33.4990650,19.1840517
2013/8/26,03:00:00,-33.5016767,19.1829533
2013/8/26,06:00:00,-33.4948117,19.1797233
2013/8/26,09:00:00,-33.4947150,19.1797967
2013/8/26,12:00:00,-33.4944733,19.1795167
2013/8/26,15:00:00,-33.4926900,19.1796033
2013/8/26,18:00:00,-33.4865800,19.1761067
2013/8/26,21:00:00,-33.4808083,19.1744100
2013/8/27,00:00:00,-33.4776083,19.1724633
